precio,area,habitaciones,antiguedad,fecha_publicacion,descripcion
245678231,122,3,13,4/9/2024,Casa con patio
198765231,83,1,6,9/27/2022,Apartamento céntrico
210987231,142,4,15,12/5/2023,Casa en zona residencial
167890132,72,2,9,6/30/2024,Apartamento en buen estado
223456132,112,3,8,10/12/2022,Casa remodelada
187654132,66,1,5,2/14/2023,Apartamento económico
256789132,152,4,17,8/20/2024,Casa con jardín
176543132,98,2,4,5/19/2021,Apartamento luminoso
245678132,128,3,14,11/28/2023,Casa con patio
198765132,87,1,7,3/22/2022,Apartamento céntrico
210987132,136,5,18,9/16/2024,Casa en zona residencial
167890312,74,2,10,7/3/2023,Apartamento en buen estado
223456312,110,3,12,11/11/2022,Casa remodelada
187654312,62,1,6,4/27/2025,Apartamento económico
256789312,146,4,15,1/9/2023,Casa con jardín
176543312,94,2,3,8/25/2021,Apartamento luminoso
245678312,124,3,11,5/18/2024,Casa con patio
198765312,81,1,8,12/13/2022,Apartamento céntrico
210987312,139,4,16,3/7/2023,Casa en zona residencial
167890213,76,2,5,10/22/2024,Apartamento en buen estado
223456213,114,3,9,7/15/2022,Casa remodelada
187654213,64,1,7,6/10/2023,Apartamento económico
256789213,150,4,18,2/24/2024,Casa con jardín
176543213,96,2,2,9/29/2021,Apartamento luminoso
245678213,126,3,15,11/21/2023,Casa con patio
198765213,90,1,4,6/11/2022,Apartamento céntrico
210987213,140,5,17,7/3/2024,Casa en zona residencial
222757389,103,2,20,6/26/2024,Apartamento con vista
209271134,153,4,21,8/25/2023,Apartamento céntrico
206424476,114,1,20,3/30/2023,Apartamento con vista
30118236,150,3,41,2/8/2024,Apartamento económico
200809317,107,3,36,1/16/2025,Casa en zona residencial
154793059,150,1,19,4/1/2020,Casa en zona residencial
262007720,125,1,16,5/9/2025,Apartamento céntrico
113600315,156,4,41,11/30/2024,Apartamento luminoso
57020675,64,5,30,3/26/2022,Casa con jardín
240651548,224,5,20,12/20/2021,Apartamento céntrico
337007223,155,5,44,11/30/2022,Casa remodelada
189285315,97,3,7,2/4/2024,
231405960,70,2,4,2/22/2024,Casa en zona residencial
233015554,119,2,11,7/18/2022,Casa remodelada
180971039,91,3,34,11/14/2021,Casa con jardín
220351675,36,3,46,1/25/2024,Apartamento económico
214373522,175,2,38,3/5/2022,Casa con patio
153887137,123,3,50,5/17/2024,Casa en zona residencial
350000000,65,4,36,12/1/2023,Casa en zona residencial
283547890,86,1,31,2/5/2025,
235660900,125,4,5,3/6/2022,Casa espaciosa
197997292,151,2,27,2/5/2024,Casa en zona residencial
175986470,129,4,12,11/3/2024,Apartamento económico
192299516,99,3,36,6/2/2023,Apartamento económico
135788924,74,1,31,6/19/2024,Casa con jardín
133554178,170,5,11,3/13/2024,Casa en zona residencial
73102300,108,3,16,11/29/2021,Casa remodelada
187994064,124,1,31,6/2/2023,Casa remodelada
156375717,91,3,31,9/29/2024,Casa en zona residencial
262788039,141,1,37,10/6/2020,Apartamento en buen estado
279044348,169,4,47,5/23/2020,Casa remodelada
193723650,57,4,2,10/21/2021,
236475440,68,2,19,5/13/2022,Casa en zona residencial
225212223,69,3,17,5/21/2022,Casa remodelada
264422752,147,1,30,8/14/2023,Apartamento económico
153221690,86,5,48,1/2/2020,Casa remodelada
208084140,143,3,34,8/9/2024,Apartamento económico
174294778,155,2,10,7/6/2024,Casa con jardín
232443311,157,4,47,5/24/2021,Casa con patio
202814751,56,4,15,8/14/2022,Casa con patio
109575932,108,3,7,3/4/2023,Apartamento económico
242914699,191,1,50,4/14/2021,Casa en zona residencial
225415018,44,5,50,3/13/2021,Casa con jardín
266911814,132,3,27,5/28/2022,Casa remodelada
230746882,72,3,34,4/30/2023,Casa remodelada
81498658,98,2,40,11/26/2022,Casa con jardín
229536376,30,4,32,2/13/2023,Apartamento en buen estado
154228045,74,3,17,12/21/2024,Apartamento con vista
202712394,126,4,23,9/17/2021,Apartamento luminoso
111086216,76,3,25,2/23/2022,Casa con jardín
259084800,155,3,28,9/1/2024,Casa en zona residencial
95861242,87,4,6,1/22/2025,Casa espaciosa
227353099,158,4,15,10/15/2021,Apartamento económico
120573755,44,1,22,6/5/2025,Apartamento luminoso
135390834,89,5,21,11/9/2020,Apartamento con vista
162743444,156,1,32,9/20/2020,Apartamento en buen estado
266974803,102,1,29,2/16/2020,Apartamento económico
276456435,145,5,41,8/20/2024,Apartamento económico
150980712,146,3,25,1/10/2022,Apartamento con vista
144163473,181,1,0,11/9/2024,Apartamento céntrico
172196572,100,1,44,3/23/2025,Casa remodelada
323464137,154,3,11,6/2/2020,Apartamento económico
177274723,190,1,47,12/6/2020,Casa en zona residencial
162166240,30,4,9,11/16/2024,Apartamento en buen estado
171884288,132,1,18,3/17/2021,Casa remodelada
311778295,127,4,15,11/17/2024,Apartamento céntrico
196307399,92,5,23,4/15/2025,Apartamento céntrico
127894725,118,2,42,6/24/2024,Apartamento económico
223049366,155,1,28,1/31/2021,Apartamento céntrico
198816484,90,3,25,2/14/2022,Apartamento con vista
122284599,164,1,6,5/4/2023,Apartamento con vista
250966007,172,2,35,12/29/2021,Apartamento en buen estado
195126624,130,3,23,7/10/2020,Apartamento económico
190687714,114,3,38,4/5/2020,Casa con jardín
203165394,155,1,12,10/5/2020,Casa con patio
153144767,51,4,19,3/18/2025,Casa con patio
234234144,96,3,11,3/20/2021,Casa con patio
166500567,152,5,30,11/8/2023,Casa espaciosa
310463268,155,3,34,1/30/2021,Casa con patio
102724861,121,5,15,7/22/2021,Casa en zona residencial
191223937,70,1,30,9/25/2021,Apartamento en buen estado
212088733,181,4,46,8/10/2021,Casa con patio
230014183,168,1,6,4/12/2023,Casa con jardín
162798806,119,1,18,7/29/2024,Casa remodelada
172319636,129,2,44,3/1/2023,Casa espaciosa
147470394,100,2,38,3/31/2020,Apartamento con vista
173251744,109,3,19,4/20/2021,Casa con jardín
211977226,73,2,12,12/13/2020,Casa con patio
102417728,72,2,37,2/14/2023,Apartamento luminoso
74466830,135,1,20,7/21/2020,Apartamento en buen estado
244247623,63,1,46,6/10/2023,Casa remodelada
165221065,189,4,2,10/17/2021,Casa en zona residencial
327655294,74,3,27,11/6/2021,Apartamento con vista
108189562,85,1,36,2/10/2020,Casa espaciosa
73478048,125,2,27,1/21/2022,Apartamento económico
237952158,173,3,29,6/19/2023,
265056721,89,5,48,12/7/2024,Apartamento en buen estado
153830751,171,2,48,1/24/2024,Casa remodelada
40048901,70,1,47,4/2/2022,Apartamento luminoso
213200146,192,2,2,12/31/2023,Casa en zona residencial
164098210,136,3,45,1/1/2020,Apartamento económico
137950182,80,2,39,12/28/2024,Apartamento céntrico
140689323,96,4,33,3/13/2021,Apartamento luminoso
159894659,148,2,43,1/23/2021,
128763300,97,1,14,6/6/2023,Apartamento en buen estado
263209360,132,2,33,3/16/2022,Apartamento céntrico
84743815,171,3,33,8/24/2023,Casa con patio
285063533,112,3,41,5/5/2024,Casa remodelada
191070812,143,1,23,3/9/2020,Apartamento céntrico
97612944,161,1,42,11/10/2024,
214695859,68,1,24,5/3/2023,Apartamento económico
220964702,110,4,50,11/27/2023,Apartamento en buen estado
159129783,75,1,20,4/17/2022,Casa remodelada
59032868,131,2,48,1/6/2023,Apartamento con vista
185666267,111,2,21,8/26/2020,Casa con jardín
185023248,99,2,48,3/5/2025,Casa espaciosa
158075145,56,3,25,1/28/2020,Casa en zona residencial
302310520,120,1,50,10/27/2022,Apartamento económico
193755935,151,4,44,7/21/2023,Apartamento con vista
119507912,37,1,36,1/28/2020,Apartamento con vista
265686178,119,1,43,6/20/2021,Casa remodelada
170311317,30,3,40,4/18/2020,Apartamento céntrico
196776176,72,4,7,5/13/2025,Casa remodelada
67600758,155,3,25,9/5/2023,Apartamento céntrico
191287091,38,3,32,12/31/2023,Apartamento luminoso
153749925,54,3,29,4/22/2022,Casa con jardín
36920411,139,5,30,1/6/2020,Apartamento céntrico
241392058,115,1,48,6/17/2024,Casa con jardín
242530039,133,4,10,11/16/2023,Apartamento con vista
249788898,76,1,3,12/15/2024,Casa espaciosa
91145824,111,1,25,10/15/2021,Apartamento luminoso
121405437,121,3,42,9/15/2020,Casa remodelada
145641080,30,4,9,6/20/2020,Apartamento céntrico
254329114,84,1,36,11/24/2020,Casa remodelada
187542030,65,4,34,6/17/2024,Casa remodelada
219957065,137,3,10,3/6/2023,Apartamento céntrico
222220222,177,2,7,12/7/2024,Casa con patio
239246075,137,2,36,1/5/2020,Apartamento económico
209936149,199,3,44,12/1/2022,Casa con patio
160955718,191,4,31,9/10/2024,Apartamento luminoso
47850027,174,4,16,6/2/2023,Casa en zona residencial
145694493,111,1,38,5/24/2025,Apartamento luminoso
202217575,134,3,14,7/4/2024,Casa remodelada
251827879,112,2,37,1/4/2024,Casa remodelada
252085357,140,1,3,8/20/2021,Apartamento céntrico
221658632,123,3,37,4/16/2025,Casa espaciosa
331830875,69,3,7,7/8/2023,Casa espaciosa
251699525,151,4,50,5/9/2025,Casa espaciosa
236473598,177,2,9,5/21/2022,Apartamento luminoso
166769852,46,3,42,1/30/2021,Apartamento con vista
203167769,223,4,46,6/27/2024,
198760426,140,4,36,2/6/2025,Apartamento con vista
154644738,165,1,50,11/18/2022,Casa con jardín
171582048,89,1,35,4/20/2023,Casa en zona residencial
349271194,132,3,8,8/25/2023,Casa con patio
230161298,82,4,34,7/28/2021,Casa espaciosa
242983497,112,3,17,4/19/2021,Apartamento céntrico
201979590,142,1,50,4/20/2023,Casa con jardín
117989854,121,1,32,6/25/2020,
128961008,131,5,48,5/27/2020,Apartamento luminoso
198788812,158,1,6,11/27/2024,Casa en zona residencial
275605718,95,3,29,10/11/2020,Casa remodelada
189953426,85,4,17,2/7/2022,Apartamento económico
278014442,30,3,49,5/30/2023,Apartamento luminoso
169893214,119,3,38,7/24/2024,Apartamento con vista
243606364,52,3,22,2/24/2020,Apartamento céntrico
176071213,153,4,2,6/30/2025,Casa en zona residencial
198100650,103,1,32,6/15/2024,Casa con jardín
177092977,93,4,45,5/5/2021,Casa espaciosa
87073809,70,1,9,2/13/2022,Casa remodelada
212188775,55,3,1,4/4/2025,Apartamento en buen estado
115063597,74,3,22,2/16/2023,Casa espaciosa
112651746,185,4,33,12/12/2022,Apartamento económico
252193465,108,2,16,3/20/2025,Apartamento económico
297397355,113,4,24,10/14/2023,Casa con patio
202568934,101,5,28,2/6/2023,Apartamento céntrico
91018779,133,4,24,9/24/2022,Apartamento con vista
157202362,123,1,26,1/22/2025,Apartamento luminoso
135814237,145,4,6,6/24/2022,Casa remodelada
77928527,54,4,1,10/16/2022,Apartamento luminoso
170421022,118,4,25,1/29/2020,Apartamento en buen estado
178042120,161,2,38,1/13/2022,Apartamento económico
184071113,133,5,21,3/9/2020,Casa con jardín
229625439,43,1,44,4/26/2021,Casa con patio
170163289,119,1,16,7/22/2024,Casa con patio
239564282,178,3,34,5/10/2020,Apartamento céntrico
231164493,151,1,33,6/7/2021,Apartamento económico
253054663,83,5,16,11/25/2020,Casa con patio
110240489,99,4,23,12/4/2020,Casa con jardín
271567913,139,4,15,12/10/2021,Casa con jardín
187635481,37,1,25,5/3/2021,Apartamento con vista
242693178,115,1,6,5/16/2020,Apartamento económico
189532004,138,2,38,9/21/2022,Apartamento céntrico
327733549,124,4,23,9/21/2022,Apartamento céntrico
196918029,153,3,22,12/29/2020,Casa en zona residencial
217544134,30,2,24,11/21/2023,Apartamento céntrico
27968104,140,2,1,11/6/2020,Apartamento económico
197080735,155,5,34,3/29/2025,Casa en zona residencial
350000000,81,1,9,7/14/2022,Casa con patio
209762615,30,2,48,1/3/2020,Casa con jardín
129647256,63,1,24,3/7/2021,Casa remodelada
176799042,71,1,36,3/1/2020,Apartamento en buen estado
181715079,73,2,45,9/29/2023,
185966752,111,3,28,5/17/2024,Apartamento luminoso
209898590,215,1,33,4/4/2022,Apartamento con vista
221013272,131,4,22,11/19/2021,Casa con patio
168848182,58,2,16,8/3/2020,Apartamento económico
157768881,136,1,46,1/17/2023,Casa con patio
52848959,71,1,28,7/30/2024,Apartamento económico
225656022,156,4,33,9/10/2022,Apartamento luminoso
246758524,68,3,5,2/6/2020,Apartamento en buen estado
194663668,154,2,2,5/10/2024,Casa con jardín
234230334,189,1,5,8/3/2020,Apartamento económico
168544990,133,1,47,8/31/2024,
211672810,82,1,4,11/5/2024,Apartamento con vista
256430253,105,1,31,12/28/2020,Apartamento en buen estado
149261180,130,2,13,8/11/2021,Casa en zona residencial
232411489,30,1,33,11/30/2021,Casa con jardín
178278086,117,3,6,8/8/2021,Casa con patio
186078524,121,4,29,2/6/2020,Apartamento luminoso
202858915,127,1,26,7/10/2020,Casa remodelada
238567981,151,3,21,4/18/2021,Casa con jardín
157353847,125,2,6,1/29/2020,
164154074,158,2,10,7/23/2021,Casa en zona residencial
86595048,91,5,16,1/27/2023,Casa con patio
219244473,87,4,31,2/27/2023,Casa espaciosa
112659488,147,5,43,1/3/2024,Apartamento en buen estado
77563094,84,3,37,3/30/2024,Apartamento céntrico
114441666,171,2,15,4/11/2024,Casa con jardín
166027868,88,1,7,8/13/2021,
220478311,135,4,43,11/23/2021,Casa con jardín
204158474,140,2,24,1/3/2022,Casa en zona residencial
215215036,76,3,37,5/21/2025,Casa con patio
219531996,66,3,1,9/29/2023,Casa con jardín
164338728,30,1,17,9/5/2023,Apartamento céntrico
345156559,87,3,44,12/29/2021,Casa remodelada
250212431,146,1,11,6/7/2022,Apartamento luminoso
285128045,147,4,31,8/29/2020,Casa remodelada
137689041,111,3,32,8/11/2021,Casa espaciosa
106149872,61,5,25,9/5/2024,Apartamento con vista
156594437,134,1,48,3/10/2025,
297413895,169,4,40,10/25/2023,Casa con jardín
201043723,132,2,46,9/7/2020,Casa en zona residencial
232341763,194,4,21,2/13/2021,Apartamento económico
296419622,89,4,11,6/27/2022,Casa con patio
172135097,127,5,35,11/15/2021,Casa con jardín
180455289,154,1,43,6/5/2024,Apartamento luminoso
134164041,142,5,40,12/18/2022,Apartamento económico
181103057,76,1,14,12/18/2020,Casa en zona residencial
259580134,104,2,23,2/7/2021,Apartamento en buen estado
116038519,46,5,23,5/4/2024,Casa remodelada
350000000,127,1,33,3/15/2024,Casa espaciosa
90810649,84,4,11,7/24/2024,Apartamento céntrico
277284670,143,1,7,4/9/2020,Casa en zona residencial
106136662,171,4,36,4/16/2022,Apartamento luminoso
89723998,107,2,46,1/14/2020,Casa con jardín
304228856,147,1,16,6/9/2022,Casa con patio
111768734,159,2,35,10/27/2020,Casa en zona residencial
95584624,97,1,13,8/14/2021,Apartamento con vista
312862018,83,1,4,7/23/2023,Casa con jardín
284964572,146,1,19,7/31/2023,Casa con patio
90576905,161,4,48,2/29/2024,Casa con jardín
214451588,165,2,43,6/28/2023,Casa espaciosa
187546539,107,4,19,10/8/2020,Casa remodelada
183871605,64,5,4,3/30/2023,Casa remodelada
298284991,142,3,49,5/24/2023,
248755187,124,3,46,3/2/2021,Apartamento céntrico
218492087,30,1,44,11/3/2020,Apartamento céntrico
229948049,63,5,0,10/11/2022,Casa con jardín
163579543,83,5,46,12/30/2024,Casa remodelada
190069014,196,4,7,10/29/2020,Casa con jardín
167074023,121,2,3,3/11/2022,Casa remodelada
231556212,59,3,4,12/26/2020,Apartamento con vista
130644115,90,4,8,3/30/2023,Casa con patio
175752173,87,1,33,11/5/2023,Apartamento luminoso
265678167,56,2,17,1/31/2021,Casa con patio
240922172,92,3,6,6/12/2024,Apartamento en buen estado
124061305,47,3,20,4/22/2025,Casa con patio
257877545,206,3,37,7/14/2023,Apartamento económico
219931003,64,2,8,10/23/2022,Apartamento en buen estado
195646945,158,3,28,3/23/2023,Casa con patio
105889618,38,4,43,10/29/2024,
234111476,134,4,42,10/1/2022,Apartamento en buen estado
239003286,121,1,10,2/20/2020,Casa espaciosa
180279321,133,1,3,10/4/2022,Apartamento en buen estado
130733031,61,2,34,7/29/2024,Apartamento con vista
285816956,142,1,3,3/30/2020,Casa con patio
126393085,112,2,38,6/27/2022,Casa en zona residencial
250775733,80,1,35,1/12/2023,Casa espaciosa
221536199,30,1,12,6/5/2022,Apartamento luminoso
195009905,111,1,8,12/11/2024,Apartamento con vista
163299987,62,2,23,12/20/2021,Casa remodelada
238274468,79,3,18,6/23/2024,Casa en zona residencial
150255563,121,4,32,1/2/2024,Apartamento céntrico
164279062,84,2,32,9/22/2021,Apartamento en buen estado
267853706,179,4,9,8/26/2022,Casa con patio
211460815,109,1,20,8/8/2024,Apartamento económico
76235492,30,4,10,9/25/2022,Casa con jardín
227234921,179,3,45,2/5/2020,Casa con jardín
262037157,183,3,32,3/29/2025,Apartamento luminoso
155641230,100,4,1,8/13/2022,Apartamento en buen estado
204136565,83,1,7,5/4/2024,Apartamento económico
68457764,125,3,5,2/27/2023,Casa en zona residencial
99073471,51,5,22,12/26/2024,Casa espaciosa
197957403,79,5,12,2/9/2024,Casa con patio
171733062,57,3,15,11/1/2022,Casa remodelada
47278725,87,1,50,2/1/2023,Apartamento luminoso
267142027,115,4,5,2/9/2021,Apartamento céntrico
218325310,123,4,11,4/22/2024,Casa espaciosa
125652395,70,3,20,2/8/2022,
195701893,39,2,22,8/16/2024,Casa espaciosa
214615486,170,4,41,1/12/2020,Casa remodelada
197052568,105,3,23,8/20/2024,Apartamento luminoso
169592497,89,2,14,11/29/2023,Apartamento económico
225222992,70,3,19,6/24/2025,Apartamento con vista
178033407,117,2,35,4/4/2020,Casa remodelada
278115139,133,1,2,4/27/2021,Casa con patio
223597821,152,1,20,9/20/2022,Casa espaciosa
223441607,111,3,12,6/26/2021,Casa espaciosa
133784744,103,4,28,2/12/2020,Apartamento céntrico
132100664,127,1,18,5/7/2025,Apartamento con vista
187083260,45,2,30,12/15/2022,Casa con patio
115728124,98,1,27,7/8/2020,Apartamento económico
225967711,69,4,3,6/26/2024,Casa con jardín
219053877,160,3,35,5/3/2020,Apartamento luminoso
127301771,100,2,34,6/2/2021,
266814377,95,2,21,7/26/2024,Casa en zona residencial
156264121,30,1,14,10/22/2021,Apartamento con vista
130431605,134,4,12,7/31/2020,Apartamento con vista
130391333,108,4,20,11/3/2020,Casa en zona residencial
167844651,133,4,34,11/3/2024,Casa espaciosa
172956171,153,5,48,4/14/2020,Casa remodelada
220795307,116,2,47,1/29/2020,Casa remodelada
186509300,149,4,33,2/14/2022,
98464162,97,2,22,5/5/2022,Apartamento económico
154539953,106,1,22,2/12/2020,Casa remodelada
142263040,165,3,10,3/11/2021,Apartamento económico
127119734,132,1,4,2/11/2022,Apartamento luminoso
143550510,147,1,31,1/2/2021,Casa remodelada
253694362,76,4,1,4/7/2021,Apartamento céntrico
178889054,104,5,49,12/6/2024,Apartamento en buen estado
187455605,63,1,12,9/12/2024,Apartamento céntrico
169371500,73,5,8,8/15/2024,Casa con jardín
84319000,30,4,21,2/17/2021,Casa espaciosa
178274598,97,2,20,5/1/2020,Casa en zona residencial
170299274,133,4,20,11/21/2023,Apartamento en buen estado
111838301,119,1,21,10/23/2021,
210230435,35,2,1,6/24/2021,Apartamento en buen estado
242334120,134,1,50,12/1/2023,Casa con jardín
131652556,32,2,32,11/26/2021,Apartamento económico
227019719,33,4,38,4/17/2020,Casa con patio
153422312,130,3,15,5/26/2024,Casa remodelada
225385458,124,3,34,6/1/2023,Apartamento con vista
111839720,156,2,45,8/18/2020,
160097300,61,2,35,8/20/2021,Apartamento con vista
143353129,137,5,19,8/9/2021,Apartamento económico
185411477,162,3,3,7/4/2024,Casa espaciosa
228478628,124,4,36,10/31/2024,Apartamento en buen estado
166196769,58,3,6,5/30/2021,Apartamento económico
199817047,79,4,3,3/26/2025,Casa con jardín
255430064,135,1,18,1/14/2025,Apartamento económico
181438656,89,2,37,2/14/2023,Casa espaciosa
20142376,144,1,48,4/21/2023,Casa remodelada
186860096,104,4,46,8/28/2022,Casa con patio
203745017,134,3,3,10/21/2021,
244651577,147,5,4,3/8/2024,Casa espaciosa
104572915,58,1,48,2/28/2025,Apartamento luminoso
200711527,32,3,18,12/20/2023,Apartamento económico
255981565,100,2,36,6/26/2025,Casa remodelada
234971599,104,4,25,7/7/2023,Casa en zona residencial
174992467,66,5,24,7/1/2021,Apartamento en buen estado
131489882,70,1,27,9/26/2020,Casa con jardín
187860828,120,3,24,7/23/2020,Apartamento luminoso
190658861,77,1,19,2/16/2025,Apartamento con vista
71298409,143,3,26,3/22/2024,Apartamento luminoso
207290761,113,4,6,4/24/2025,Apartamento con vista
222177826,133,4,36,11/9/2020,Apartamento en buen estado
241192587,55,1,23,10/31/2020,Apartamento económico
211007356,103,5,40,6/9/2020,Apartamento céntrico
154353679,179,1,21,10/11/2022,Casa remodelada
129045910,112,2,42,8/31/2024,Casa en zona residencial
215494096,187,1,5,9/1/2021,Casa remodelada
124118895,100,4,1,4/21/2022,Apartamento céntrico
184351010,157,2,11,12/9/2020,Casa con jardín
173242909,74,5,50,1/28/2025,Casa remodelada
151961006,74,1,3,3/16/2025,Casa espaciosa
102385631,113,2,21,9/19/2021,
